County,AC1,AC2,AC3,AC4,AC5,AC6,AC7,AN1,AN2,AN3,AN4,AN5,AN6,AN7
adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allen,0,20,53,78,26,16,0,0,1.34,3.54,5.21,1.74,1.07,0
bartholomew,0,0,18,12,0,0,0,0,0,5.45,3.64,0,0,0
benton,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blackford,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boone,0,0,19,10,0,0,0,0,0,7.16,3.77,0,0,0
carroll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cass,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clay,0,0,42,36,20,13,0,0,0,8.96,7.68,4.27,2.77,0
clinton,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daviess,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dekalb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dearborn,0,0,14,16,0,0,0,0,0,7.07,8.08,0,0,0
decatur,0,0,0,0,0,0,0,0,0,0,0,0,0,0
delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desoto,0,0,17,13,17,11,0,0,0,3.7,2.83,3.7,2.39,0
dubois,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elkhart,0,0,12,23,16,0,0,0,0,1.46,2.8,1.95,0,0
fayette,0,0,11,16,16,0,0,0,0,11.87,17.26,17.26,0,0
floyd,0,0,32,24,15,19,0,0,0,10.31,7.73,4.83,6.12,0
fountain,0,0,0,0,0,0,0,0,0,0,0,0,0,0
franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fulton,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gibson,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grant,0,0,11,14,10,0,0,0,0,4.15,5.28,3.77,0,0
greene,0,0,0,0,0,0,0,0,0,0,0,0,0,0
